CNY|人民币

HKD|港元

TWD|台币

EUR|欧元

USD|美元

GBP|英镑

AUD|澳元

KRW|韩元

JPY|日元

ALL|阿尔巴尼亚列克

DZD|阿尔及利亚第纳尔

ARS|阿根廷比索

AWG|阿鲁巴岛弗罗林

AUD|澳元

EGP|埃及镑

EEK|爱沙尼亚克伦尼

ETB|埃塞俄比亚比尔

MOP|澳门元

OMR|阿曼里亚尔

AED|阿联酋迪拉姆

BSD|巴哈马元

BHD|巴林第纳尔

BBD|巴巴多斯元

BYR|白俄罗斯卢布

BZD|伯利兹元

BMD|百慕大元

BTN|不丹卢比

BOB|玻利维亚诺

BWP|博茨瓦纳普拉

BRL|巴西里亚伊

BGN|保加利亚列瓦

BIF|布隆迪法郎

ISK|冰岛克朗

PKR|巴基斯坦卢比

PAB|巴拿马巴尔博亚

PGK|巴布亚新几内亚基那

PYG|巴拉圭瓜拉尼

PLN|波兰兹罗提

KPW|朝鲜圆

XOF|多哥非洲共同体法郎

DKK|丹麦克朗

DOP|多米尼加比索

DEM|德国马克

ECS|厄瓜多尔苏克雷

ERN|厄立特里亚

RUB|俄罗斯卢布

CVE|佛得角埃斯库多

FKP|福克兰群岛镑

FJD|斐济元

PHP|菲律宾比索

FRF|法国法郎

XAF|刚果中非共同体法郎

COP|哥伦比亚比索

CRC|哥斯达黎加科朗

CUP|古巴比索

XCD|格林纳达东加勒比元

GMD|冈比亚达拉西

GYD|圭亚那元

HTG|海地古德

HNL|洪都拉斯伦皮拉

KZT|哈萨克斯坦腾格

KHR|柬埔寨利尔斯

CAD|加拿大元

CZK|捷克克朗

DJF|吉布提法郎

GHC|加纳塞地

GNF|几内亚法郎

ZWN|新津巴布韦元

ZWD|津巴布韦元

KYD|开曼岛元

KMF|科摩罗法郎

HRK|克罗地亚库纳

KES|肯尼亚先令

KWD|科威特第纳尔

QAR|卡塔尔利尔

LAK|老挝基普

LVL|拉脱维亚拉图

LBP|黎巴嫩镑

LSL|莱索托洛提

LRD|利比里亚元

LYD|利比亚第纳尔

LTL|立陶宛里塔斯

ANG|列斯荷兰盾

ROL|罗马尼亚列伊

RON|罗马尼亚新列伊

RWF|卢旺达法郎

BDT|孟加拉塔卡

MKD|马其顿第纳尔

MGF|马达加斯加法郎

MWK|马拉维克瓦查

MYR|马来西亚林吉特

MVR|马尔代夫卢非亚

MTL|马尔他里拉

MRO|毛里塔尼亚乌吉亚

MUR|毛里求斯卢比

MXN|墨西哥比索

MDL|摩尔多瓦列伊

MNT|蒙古图格里克

MAD|摩洛哥道拉姆

MZM|莫桑比克美提卡

MMK|缅甸元

PEN|秘鲁索尔

NAD|纳米比亚元

NPR|尼泊尔卢比

NIO|尼加拉瓜科多巴

NGN|尼日利亚奈拉

NOK|挪威克朗

ZAR|南非兰特

SEK|瑞典克朗

CHF|瑞士法郎

CYP|塞浦路斯镑

SVC|萨尔瓦多科朗

WST|萨摩亚塔拉

STD|圣多美多布拉

SAR|沙特阿拉伯里亚尔

SCR|塞舌尔法郎

SLL|塞拉利昂利昂

SKK|斯洛伐克克朗

SIT|斯洛文尼亚托拉捷夫

SBD|所罗门群岛元

SOS|索马里先令

LKR|斯里兰卡卢比

SHP|圣赫勒拿群岛磅

SDD|苏丹第纳尔

SRG|苏里南盾

SZL|斯威士兰里兰吉尼

SDP|苏丹镑

CSD|塞尔维亚第纳尔

TRY|土耳其新里拉

XPF|太平洋法郎

TZS|坦桑尼亚先令

THB|泰国铢

TOP|汤加潘加

TTD|特立尼达和多巴哥元

TND|突尼斯第纳尔

BND|文莱元

GTQ|危地马拉格查尔

UGS|乌干达先令

UAH|乌克兰赫夫米

UYU|乌拉圭新比索

VUV|瓦努阿图瓦图

VEB|委内瑞拉博利瓦

VND|越南盾

HUF|匈牙利福林

NZD|新西兰元

SGD|新加坡元

SYP|叙利亚镑

INR|印度卢比

IDR|印度尼西亚卢比(盾)

IRR|伊朗里亚尔

IQD|伊拉克第纳尔

ILS|以色列镑

JMD|牙买加元

JOD|约旦第纳尔

YER|也门里亚尔

ITL|意大利里拉

CLP|智利比索

GIP|直布罗陀镑

ZMK|赞比亚克瓦查

XAL|铝价盎司

XCP|铜价盎司

XAU|金价盎司

XPD|钯价盎司

XPT|铂价盎司

XAG|银价盎司

